,title,cast,description,genre,duration,release_year,country,rating
0,3%,joã£o miguel  bianca comparato  michel gomes  rodolfo valente  vaneza oliveira  rafael lozano  viviane porto  mel fronckowiak  sergio mamberti  zezã© motta  celso frateschi,future elite inhabit island paradise far crowded slum get one chance join 3 % saved squalor .,international,four,2020,brazil,r
5,46,erdal beåÿikã§ioäÿlu  yasemin allen  melis birkan  saygä±n soysal  berkan åžal  metin belgin  ayã§a eren  selin uludoäÿan  ã–zay fecht  suna yä±ldä±zoäÿlu,genetics professor experiment treatment comatose sister blend medical shamanic cure unlocks shocking side effect .,international,one,2016,turkey,r
11,1983,robert wiä™ckiewicz  maciej musiaå‚  michalina olszaå„ska  andrzej chyra  clive russell  zofia wichå‚acz  edyta olszã³wka  mateusz koå›ciukiewicz  ewa bå‚aszczyk  vu le hong  tomasz wå‚osok  krzysztof wach,dark alt-history thriller naã¯ve law student world-weary detective uncover conspiracy ha tyrannized poland decades .,crime,one,2018,poland  united states,r
12,1994,,archival video new interview examine mexican politics 1994 year marked rise ezln assassination luis donaldo colosio .,crime,one,2019,mexico,r
16,feb-09,shahd el yaseen  shaila sabt  hala  hanadi al-kandari  salma salem  ibrahim al-harbi  mahmoud boushahri  yousef al balushi  ghorour  abdullah al-bloshi,psychology professor face alzheimer ' daughter three close female friend experience romance marriage heartbreak tragedy .,international,one,2018,,tv-pg
24,saintseiya:knightsofthezodiac,bryson baugus  emily neves  blake shepard  patrick poole  luci christian  adam gibbs  masakazu morita  fumiko orikasa  takahiro sakurai  hiroaki miura  satomi sato  katsuyuki konishi,seiya knight zodiac rise protect reincarnation goddess athena dark prophecy hang .,anime,two,2020,japan,tv-pg
26,(un)well,,docuseries take deep dive lucrative wellness industry tout health healing. product live promises ?,reality,one,2020,united states,r
29,#blackaf,kenya barris  rashida jones  iman benson  genneya walton  scarlet spencer  justin claiborne  ravi cabot-conyers,kenya barris family navigate relationship race culture grappling newfound success comedy series .,tv,one,2020,united states,r
44,åžubat,alican yã¼cesoy  melisa sã¶zen  musa uzunlar  serkan ercan  ã–zkan uäÿur  ãœlkã¼ duru  tansu biã§er  nadir sarä±bacak  sermet yeåÿil  ayhan kavas,orphan subjected test gave superpower rescued raised istanbul ' street fall reporter linked past .,crime,one,2013,turkey,r
50,100daysmyprince,doh kyung-soo  nam ji-hyun  cho seong-ha  cho han-cheul  kim seon-ho  han so-hee,upon losing memory crown prince encounter commonerâ€ ™s life experience unforgettable love husband joseonâ€ ™s oldest bachelorette .,international,one,2018,south korea,tv-pg
52,100humans,zainab johnson  sammy obeid  alie ward,one hundred hardy soul diverse background participate playful experiment exploring age sex happiness aspect human .,docuseries ,one,2020,united states,tv-pg
57,100%hotter,daniel palmer  melissa sophia  karen williams  grace woodward,stylist hair designer makeup artist team give britain ' biggest fashion disaster much-needed makeunders .,british,one,2017,united kingdom,tv-pg
60,12yearspromise,so-yeon lee  namkoong min  tae-im lee  so-hui yoon  won-keun lee  hyo-young ryu,pregnant teen forced family leave boyfriend assume new identity america 12 year later couple reunites korea .,international,one,2014,south korea,tv-pg
62,13reasonswhy,dylan minnette  katherine langford  kate walsh  derek luke  brian d'arcy james  alisha boe  christian navarro  miles heizer  ross butler  devin druid  michele selene ang  steven silver  amy hargreaves,teenage girl ' perplexing suicide classmate receives series tape unravel mystery tragic choice .,crime,four,2020,united states,r
63,13reasonswhy:beyondthereasons,dylan minnette  katherine langford  kate walsh  derek luke  alisha boe  justin prentice  brandon flynn  miles heizer  christian navarro  brian yorkey  tom mccarthy  selena gomez  mandy teefey  jay asher  dr. rona hu  dr. helen hsu  dr. rebecca hedrick  alexis jones  elaine welteroth  julia bicknell  dr. christine moutier  nic sheff  carrie goldberg  anne winters  joy gorman  brandon butler  marissa jo cerar  susanne timms,"cast member writer producer mental health professional discus difficult issue theme explored "" 13 reason . """,crime,three,2019,united states,r
79,20minutes,tuba bã¼yã¼kã¼stã¼n  ilker aksum  bã¼lent emin yarar  ä°pek bilgin  mã¼jde uzman  firat ã‡elik  ayten uncuoglu  cihat tamer,wife convicted murder horrified family man race prove innocence dogged investigator set uncover truth .,crime,one,2013,turkey,r
84,21again,laura morgan,social experiment group daughter sends mother disguised 21-year-olds world experience life member gen z .,british,one,2019,united kingdom,r
85,21sarfarosh:saragarhi1897,luke kenny  mohit raina  mukul dev,one history ' greatest last stand battalion 21 sikh soldier fight defend outpost attack 10 000 afghans .,international,one,2018,india,tv-pg
86,21thunder,stephanie bennett  emmanuel kabongo  rj fetherstonhaugh  andres joseph  kevin claydon  conrad pla  clark backo  ryan pierce  eileen li  susan bain  cristina rosato  jonathan kim  colm feore,player coach montreal soccer team chase dream stardom personal life erupt love fear passion violence .,crime,one,2017,canada,r
94,28moons,jin-sung yang  kyu-jong kim  tae-hwan kang  geummi,fiancã © act strangely upon receiving mysterious invitation florist set find truth behind tiny scrap paper .,international,one,2016,south korea,tv-pg
107,3below:talesofarcadia,tatiana maslany  diego luna  nick offerman  nick frost  glenn close  alon aboutboul  hayley atwell  darin de paul  andy garcia  cheryl hines  tom kenny  chris obi  cole sand  frank welker  steven yeun,crash-landing earth two royal teen alien run struggle blend human evade intergalactic bounty hunters .,kids',two,2019,united states,tv-y7
